Total Score: 6705.794

Case,Status,Time (ms),Memory (MB),Points
1,Accepted,654,399,290.996
2,Accepted,1466,404,142.996
3,Accepted,436,398,96.998
4,Accepted,670,399,74.996
5,Accepted,561,399,69.996
6,Accepted,639,399,49.996
7,Accepted,967,401,520.996
8,Accepted,889,401,214.998
9,Accepted,483,398,32.998
10,Accepted,1231,402,151.996
11,Accepted,920,401,89.992
12,Accepted,1310,402,131.988
13,Accepted,904,401,365.998
14,Accepted,1216,402,147.996
15,Accepted,576,399,65.996
16,Accepted,967,401,314.996
17,Accepted,1404,404,15.996
18,Accepted,592,399,5.996
19,Accepted,1028,400,82.992
20,Accepted,623,399,18.996
21,Accepted,966,401,35.992
22,Accepted,888,401,81.998
23,Accepted,560,399,9.996
24,Accepted,608,399,72.996
25,Accepted,467,399,4.998
26,Accepted,826,401,83.998
27,Accepted,1231,402,55.996
28,Accepted,1231,402,179.996
29,Accepted,576,399,85.998
30,Accepted,1403,403,1.996
31,Accepted,607,399,3.996
32,Accepted,607,399,4.996
33,Accepted,1154,402,25.996
34,Accepted,920,401,4.992
36,Accepted,998,401,18.996
37,Accepted,950,401,704.996
38,Accepted,1544,404,352.996
39,Accepted,639,399,134.996
40,Accepted,655,399,110.996
41,Accepted,545,399,18.996
42,Accepted,607,399,147.996
43,Accepted,889,401,439.998
44,Accepted,982,401,192.992
45,Accepted,1185,402,178.996
46,Accepted,1840,405,51.998
47,Accepted,1294,402,247.988
48,Accepted,467,399,78.998
49,Accepted,920,401,455.998
50,Accepted,1887,405,26.998
