Total Score: 9623.954

Case,Status,Time (ms),Memory (MB),Points
1,Accepted,374,2,302.998
2,Accepted,1185,7,273.999
3,Accepted,124,1,104
4,Accepted,358,2,135.999
5,Accepted,343,2,70.998
6,Accepted,374,2,94.999
7,Accepted,748,4,543.999
8,Accepted,592,4,383
9,Accepted,202,1,72
10,Accepted,857,5,176
11,Accepted,639,5,90.996
12,Accepted,935,6,248.998
13,Accepted,592,4,460
14,Accepted,982,5,173
15,Accepted,342,2,69.998
16,Accepted,655,4,345.999
17,Accepted,1200,7,166.999
18,Accepted,374,2,64.999
19,Accepted,607,5,86.996
20,Accepted,358,2,78.999
21,Accepted,686,4,122.998
22,Accepted,608,4,395
23,Accepted,327,2,75.999
24,Accepted,373,2,74.999
25,Accepted,202,1,33
26,Accepted,592,4,409
27,Accepted,873,5,144.999
28,Accepted,919,5,182
29,Accepted,343,2,90.999
30,Accepted,1091,7,78.999
31,Accepted,327,2,32.999
32,Accepted,327,2,48.999
33,Accepted,873,5,100.999
34,Accepted,655,4,67.998
35,Accepted,202,1,17
36,Accepted,670,4,80.999
37,Accepted,701,4,709.999
38,Accepted,1154,7,354
39,Accepted,358,2,134.999
40,Accepted,421,2,119
41,Accepted,312,2,19.997
42,Accepted,327,2,159
43,Accepted,639,4,326
44,Accepted,639,5,197.998
45,Accepted,982,5,182
46,Accepted,1559,9,395
47,Accepted,1013,6,285.998
48,Accepted,202,1,80
49,Accepted,639,4,358
50,Accepted,1465,9,400
