Total Score: 9950.987

Case,Status,Time (ms),Memory (MB),Points
1,Accepted,342,2,302.999
2,Accepted,1200,7,281.999
3,Accepted,124,1,104
4,Accepted,342,2,138
5,Accepted,296,2,70.999
6,Accepted,327,2,97
7,Accepted,670,4,543.999
8,Accepted,576,4,423
9,Accepted,202,1,73
10,Accepted,1138,5,176
11,Accepted,592,5,90.999
12,Accepted,998,6,250.999
13,Accepted,561,4,469
14,Accepted,951,5,173
15,Accepted,327,2,70
16,Accepted,670,4,345.999
17,Accepted,1153,7,171.999
18,Accepted,343,2,68
19,Accepted,654,5,86.999
20,Accepted,390,2,83
21,Accepted,639,4,125.999
22,Accepted,623,4,413
23,Accepted,327,2,80
24,Accepted,343,2,75
25,Accepted,202,1,34
26,Accepted,576,4,421
27,Accepted,795,5,147
28,Accepted,872,5,182
29,Accepted,342,2,91
30,Accepted,982,7,80
31,Accepted,327,2,33
32,Accepted,343,2,49
33,Accepted,795,5,101
34,Accepted,685,4,68.999
35,Accepted,171,1,18
36,Accepted,670,4,82
37,Accepted,654,4,709.999
38,Accepted,1200,7,354
39,Accepted,373,2,135
40,Accepted,327,2,119
41,Accepted,295,2,20
42,Accepted,327,2,159
43,Accepted,639,4,438
44,Accepted,639,5,198
45,Accepted,919,5,182
46,Accepted,1544,9,399
47,Accepted,1013,6,285.999
48,Accepted,171,1,80
49,Accepted,624,4,448
50,Accepted,1435,9,401
