Total Score: 9983.984

Case,Status,Time (ms),Memory (MB),Points
1,Accepted,498,3,302.999
2,Accepted,1481,7,283.999
3,Accepted,187,1,104
4,Accepted,498,3,138.999
5,Accepted,530,3,71.999
6,Accepted,499,3,98
7,Accepted,1044,4,543.999
8,Accepted,670,4,414
9,Accepted,233,1,74
10,Accepted,935,6,176
11,Accepted,1122,5,90.999
12,Accepted,1403,7,248.999
13,Accepted,686,4,470
14,Accepted,1075,6,171
15,Accepted,576,3,70
16,Accepted,1075,4,345.999
17,Accepted,1825,7,177.999
18,Accepted,514,3,69.999
19,Accepted,1138,5,86.999
20,Accepted,561,3,89.999
21,Accepted,1045,5,125.999
22,Accepted,639,4,414
23,Accepted,499,3,83
24,Accepted,467,3,75
25,Accepted,358,1,35
26,Accepted,654,4,423
27,Accepted,1091,6,147
28,Accepted,951,6,182
29,Accepted,529,2,91
30,Accepted,1855,7,83
31,Accepted,561,3,34
32,Accepted,639,3,51
33,Accepted,1185,6,101
34,Accepted,1122,5,68.999
35,Accepted,327,1,20
36,Accepted,904,5,82
37,Accepted,951,4,709.999
38,Accepted,1262,7,354
39,Accepted,420,3,135
40,Accepted,374,3,119
41,Accepted,592,3,20
42,Accepted,389,3,159
43,Accepted,717,4,444
44,Accepted,904,5,198
45,Accepted,1029,6,182
46,Accepted,1747,9,400
47,Accepted,1232,7,286.999
48,Accepted,218,1,80
49,Accepted,732,4,449
50,Accepted,1825,9,401
