Total Score: 12164.903

Case,Status,Time (ms),Memory (MB),Points
1,Accepted,342,5,340.999
2,Accepted,1559,14,331.998
3,Accepted,140,2,129
4,Accepted,421,5,159.999
5,Accepted,389,5,86.999
6,Accepted,390,5,113.999
7,Accepted,686,10,676.997
8,Accepted,623,7,459.998
9,Accepted,171,3,79
10,Accepted,1123,12,182.998
11,Accepted,779,9,123.998
12,Accepted,1216,14,350.994
13,Accepted,608,7,481.998
14,Accepted,1013,12,183.998
15,Accepted,451,5,84.999
16,Accepted,811,10,437.998
17,Accepted,1481,14,269.997
18,Accepted,436,5,111.998
19,Accepted,733,9,112.999
20,Accepted,390,5,147.997
21,Accepted,764,10,208.996
22,Accepted,639,7,466.998
23,Accepted,389,5,150.998
24,Accepted,374,5,80
25,Accepted,202,3,63.999
26,Accepted,592,7,468.998
27,Accepted,904,12,183.998
28,Accepted,982,12,181.998
29,Accepted,327,5,180.999
30,Accepted,1559,14,188.997
31,Accepted,373,5,86.997
32,Accepted,467,5,103.997
33,Accepted,935,12,180.997
34,Accepted,904,10,189.994
35,Accepted,234,3,50.999
36,Accepted,748,10,182.996
37,Accepted,733,10,735.997
38,Accepted,1497,14,353.999
39,Accepted,374,5,137
40,Accepted,373,5,120
41,Accepted,405,5,32.999
42,Accepted,389,5,159.999
43,Accepted,607,7,489.998
44,Accepted,794,9,207.999
45,Accepted,935,12,181.998
46,Accepted,1825,15,492.998
47,Accepted,1138,14,347.996
48,Accepted,233,3,80
49,Accepted,654,7,487.998
50,Accepted,1809,15,494.998
